user_id,product_id
202279,33120
202279,28985
202279,9327
202279,45918
202279,30035
202279,17794
202279,40141
202279,1819
202279,43668
205970,33754
205970,24838
205970,17704
205970,21903
205970,17668
205970,46667
205970,17461
205970,32665
178520,46842
178520,26434
178520,39758
178520,27761
178520,10054
178520,21351
178520,22598
178520,34862
178520,40285
178520,17616
178520,25146
178520,32645
178520,41276
156122,13176
156122,15005
156122,47329
156122,27966
156122,23909
156122,48370
156122,13245
156122,9633
156122,27360
156122,6348
156122,40878
156122,6184
156122,48002
156122,20914
156122,37011
156122,12962
156122,45698
156122,24773
156122,18569
156122,41176
156122,48366
156122,47209
156122,46522
156122,38693
156122,48825
156122,8479
22352,40462
22352,15873
22352,41897
142903,34050
142903,46802
3107,23423
139016,21405
139016,47890
139016,11182
139016,2014
139016,29193
139016,34203
139016,14992
139016,31506
139016,23288
139016,44533
139016,18362
139016,27366
139016,432
139016,3990
139016,14183
135442,24852
135442,4796
135442,31717
135442,47766
135442,4605
135442,1529
135442,21137
135442,22122
135442,34134
135442,27156
135442,14992
135442,49235
135442,26842
135442,3464
135442,25720
143742,30162
143742,27085
143742,5994
143742,1313
143742,31506
152610,30597
152610,15221
152610,43772
152610,37886
152610,37215
152610,34335
152610,3164
152610,26910
152610,38888
152610,38050
152610,25213
152610,11175
152610,23390
152610,29471
152610,43511
45082,17330
45082,27407
45082,35419
45082,196
45082,44635
45082,26878
45082,25783
45082,41290
45082,33198
45082,23020
45082,36086
45082,3800
45082,25952
18194,20392
18194,27845
18194,162
18194,2452
18194,8575
18194,41890
18194,39475
18194,10096
18194,23032
18194,20995
18194,45066
54901,19660
54901,21195
54901,7461
54901,2996
54901,32463
174840,9755
174840,25466
174840,45437
118860,8021
118860,34969
118860,1000
118860,5212
118860,36011
118860,44632
118860,46969
118860,27966
118860,38985
118860,26648
118860,48745
118860,7948
118860,4802
118860,28934
118860,2116
118860,45495
118860,32018
118860,27644
118860,4656
118860,9848
118860,17568
118860,23339
118860,7308
118860,35547
118860,33279
118860,46979
118860,47766
118860,1057
83009,42265
83009,24838
83009,41540
182912,35430
182912,47485
182912,7419
182912,5112
182912,33452
182912,24852
182912,42633
182912,27605
88772,5009
88772,33106
88772,4149
88772,31478
88772,25718
30822,23909
30822,22754
30822,24852
30822,28993
30822,41273
30822,23341
30822,46941
30822,39993
30822,19068
30822,21410
30822,17341
30822,40593
30822,46979
30822,31268
68572,25931
68572,35163
68572,29662
68572,26283
68572,47766
68572,12036
68572,13497
68572,44953
68572,7969
68572,8518
68572,18689
68572,44299
68572,8381
68572,32205
193635,40078
193635,9065
193635,46175
59897,9755
59897,31487
59897,37510
59897,14576
59897,22105
59897,1934
59897,6383
59897,39046
59897,48171
59897,33506
59897,30320
59897,15925
59897,37449
59897,48299
153404,35951
153404,24852
153404,46206
153404,25890
153404,33120
153404,21903
153404,40545
153404,47766
129389,13176
129389,30442
129389,13646
129389,21019
129389,38226
129389,18479
129389,47766
129389,17794
